subzone,lat,lon
Sector 4,28.601669,77.0489574
Greater Kailash 2 (Gk2),28.5558502,77.2438337
Dlf Phase 1,28.4823661,77.1724534
Sector 135,28.5711087,77.0730945
Vasant Kunj,28.5292495,77.1541335
Shahdara,28.6758661,77.2985078
Chittaranjan Park,28.5376883,77.2516536
